OriginalName,UpdatedName,Family,Order,Class,Phylum,Genus,Hemisphere,Latitude,Longitude,DevelopmentalMode,EggSize,PlanktonicTime
Lumbrinereis tetraura,Lumbrineris tetraura,Lumbrineridae,Eunicida,Polychaeta,Annelida,Lumbrineris,N,44.666577,-1,L,225,NA
Grybeoyllis limbata,Salvatoria limbata,Syllidae,Phyllodocida,Polychaeta,Annelida,Salvatoria,N,44.666577,-1,L,85,NA
Sphaerosyllis bulbosa,Sphaerosyllis bulbosa,Syllidae,Phyllodocida,Polychaeta,Annelida,Sphaerosyllis,N,44.666577,-1,L,90,NA
Ditrupa arietina,Ditrupa arietina,Serpulidae,Sabellida,Polychaeta,Annelida,Ditrupa,N,42,3,P,75,NA
Rostanga pulchra,Rostanga pulchra,Rostangidae,Nudibranchia,Gastropoda,Mollusca,Rostanga,N,48,-123,P,73,35
Limapontia depressa,Limapontia depressa,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Limapontia,N,55,-1,P,80,NA
Limapontia capitata,Limapontia capitata,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Limapontia,N,55,-1,P,82,NA
Limapontia senestra as c,Limapontia senestra,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Limapontia,N,55,-1,L,200,NA
Diopatra neopolitana,Diopatra neapolitana,Onuphidae,Eunicida,Polychaeta,Annelida,Diopatra,N,34.770948,137,L,200,NA
Sphaerodoris gracilis,Sphaerodorum gracilis,Sphaerodoridae,Phyllodocida,Polychaeta,Annelida,Sphaerodorum,N,55.372868,-1,L,225,NA
Trichobranchus glacialis,Trichobranchus glacialis,Terebellidae,Terebellida,Polychaeta,Annelida,Trichobranchus,N,55.372868,-1,L,175,NA
Ophiarachnella gorgonia,Ophiarachnella gorgonia,Ophiodermatidae,Ophiurida,Ophiuroidea,Echinodermata,Ophiarachnella,S,-14,145,L,320,2.5
Caliphylla mediteranea,Caliphylla mediterranea,Polybranchiidae,Sacoglossa,Gastropoda,Mollusca,Caliphylla,N,24,-81,P,89.2,NA
Ercolania funerea,Ercolania viridis,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Ercolania,N,24,-81,P,59.5,NA
Lobiger souverbii,Lobiger souverbii,Oxynoidae,Sacoglossa,Gastropoda,Mollusca,Lobiger,N,24,-81,P,54.6,NA
Oxynoe antillarum,Oxynoe antillarum,Oxynoidae,Sacoglossa,Gastropoda,Mollusca,Oxynoe,N,24,-81,P,62.5,NA
Berthelinia caribbea,Berthelinia caribbea,Juliidae,Sacoglossa,Gastropoda,Mollusca,Berthelinia,N,24,-81,L,100,NA
Bosellia mimetica,Bosellia mimetica,Boselliidae,Sacoglossa,Gastropoda,Mollusca,Bosellia,N,24,-81,P,59,NA
Costasiella nonatoi,Costasiella nonatoi,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Costasiella,N,32,-65,P,69,NA
Cyerce antillensis,Cyerce antillensis,Polybranchiidae,Sacoglossa,Gastropoda,Mollusca,Cyerce,N,24,-81,L,112,NA
Elysia timida,Elysia timida,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,32,35,L,120,NA
Elysia serca,Elysia serca,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,24,-81,P,61,NA
Elysia evelinae,Elysia evelinae,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,24,-81,L,104,NA
Ercolania fuscata,Ercolania fuscata,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Ercolania,N,24,-81,P,60,NA
Ercolania caerula,Ercolania coerulea,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Ercolania,N,24,-81,P,70,NA
Hermaea cruciata,Hermaea cruciata,Hermaeidae,Sacoglossa,Gastropoda,Mollusca,Hermaea,N,24,-81,P,77,NA
Mourgona murca as germai,Mourgona murca,Polybranchiidae,Sacoglossa,Gastropoda,Mollusca,Mourgona,N,24,-81,P,62,NA
Placida kingstoni,Placida kingstoni,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Placida,N,24,-81,P,60,NA
Volvatella bermudae,Volvatella bermudae,Volvatellidae,Sacoglossa,Gastropoda,Mollusca,Volvatella,N,32,-65,P,66,NA
Aeolidia papillosa,Aeolidia papillosa,Aeolidiidae,Nudibranchia,Gastropoda,Mollusca,Aeolidia,N,41,-71,P,82.3,NA
Ancula gibbosa,Ancula gibbosa,Goniodorididae,Nudibranchia,Gastropoda,Mollusca,Ancula,N,41,-71,P,74,NA
Catriona aurantia,Catriona aurantia,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Catriona,N,41,-71,L,149.1,NA
Cratena pilata,Cratena pilata,Glaucidae,Nudibranchia,Gastropoda,Mollusca,Cratena,N,41,-71,P,74.8,NA
Dendronotus frondosus,Dendronotus frondosus,Dendronotidae,Nudibranchia,Gastropoda,Mollusca,Dendronotus,N,41,-71,P,113.4,NA
Doris verrucosa,Doris verrucosa,Dorididae,Nudibranchia,Gastropoda,Mollusca,Doris,N,41,-71,P,93.7,NA
Doto coronata,Doto coronata,Dotidae,Nudibranchia,Gastropoda,Mollusca,Doto,N,41,-71,P,89.5,NA
Stiliger fuscatus,Ercolania fuscata,Limapontiidae,Nudibranchia,Gastropoda,Mollusca,Ercolania,N,41,-71,P,64.5,NA
Eubranchus exiguus,Eubranchus exiguus,Eubranchidae,Nudibranchia,Gastropoda,Mollusca,Eubranchus,N,41,-71,P,80,NA
Polycera dubia,Palio dubia,Polyceridae,Nudibranchia,Gastropoda,Mollusca,Palio,N,41,-71,P,76.4,NA
Herrnaea dendritica,Placida dendritica,,Nudibranchia,Gastropoda,Mollusca,Placida,N,41,-71,P,72,NA
Polycerella emertoni,Polycerella emertoni,Polyceridae,Nudibranchia,Gastropoda,Mollusca,Polycerella,N,41,-71,P,57.8,NA
Tenellia fuscata,Tenellia fuscata,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Tenellia,N,41,-71,L,183.5,NA
Tergipes tergipes,Tergipes tergipes,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Tergipes,N,41,-71,P,79.4,NA
Crepidula nivea,Crepidula nivea,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,33,-118,P,135,NA
Odostomia columbiana,Odostomia columbiana,Odostomiidae,Stylommatophora,Gastropoda,Mollusca,Odostomia,N,48,-123,P,74,70
Crepidula lingulata,Crepipatella lingulata,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepipatella,N,34,-119,P,150,38
Calyptraea mamillaris,Calyptraea mamillaris,Calyptraeidae,Caenogastropoda,Gastropoda,Mollusca,Calyptraea,N,8,-82,P,200,NA
Calyptraea pellucida,Calyptraea pellucida,Calyptraeidae,Caenogastropoda,Gastropoda,Mollusca,Calyptraea,N,25,38,P,120,NA
Crepidula naticarum,Crepidula naticarum,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,34,-119,P,164,NA
Crepidula incurva,Crepidula incurva,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,8,-80,P,150,17
Crepidula costata,Crepidula costata,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,S,-36,174,P,256,NA
Crepidula lessoni,Crepidula lessoni,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,8,-80,P,213,17
Crepidula onyx,Crepidula onyx,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,33,-118,P,172,23
