video_id,time_start,obs_duration,island,site,pct_coral,species,max_n,observer,notes
BIOT_7097_EGMT_095_RIG6_L_2,0:00,12:00,Ile Carre Pate,95,40,Balistoides viridescens,1,Mariana Rivera-Higueras,
BIOT_7097_EGMT_005_RIG2_L_3,0:00,17:43,Ile Sudest,5,80,Carcharhinus amblyrhynchos,7,Mariana Rivera-Higueras,
BIOT_7097_EGMT_005_RIG2_L_3,0:00,17:43,Ile Sudest,5,80,Melichthys niger,3,Mariana Rivera-Higueras,
BIOT_7097_EGMT_005_RIG2_L_3,0:00,17:43,Ile Sudest,5,80,Cephalopholis argus,2,Mariana Rivera-Higueras,
BIOT_7097_EGMT_005_RIG2_L_3,0:00,17:43,Ile Sudest,5,80,Lethrinus enigmaticus,1,Mariana Rivera-Higueras,
BIOT_7097_EGMT_005_RIG2_L_2,0:00,17:43,Ile Sudest,5,80,Lutjanus bohar,14,Mariana Rivera-Higueras,
BIOT_7097_EGMT_005_RIG2_L_2,0:00,17:43,Ile Sudest,5,80,Balistoides viridescens,1,Mariana Rivera-Higueras,
BIOT_7097_EAGL_078_RIG4_L_1,7:15,10:30,Eagle Island,78,80,Lethrinus Nebulosis,1,Rosie,
BIOT_7097_EAGL_078_RIG4_L_1,7:15,10:30,Eagle Island,78,80,Lutjanus bohar,17,Rosie,
BIOT_7097_EAGL_078_RIG4_L_1,7:15,10:30,Eagle Island,78,80,Lutjanus gibbus,13,Rosie,
BIOT_7097_EAGL_078_RIG4_L_1,7:15,10:30,Eagle Island,78,80,Melichthys niger,4,Rosie,
BIOT_7097_EAGL_078_RIG4_L_1,7:15,10:30,Eagle Island,78,80,Plectropomus laevis,1,Rosie,
BIOT_7097_EAGL_078_RIG4_L_1,7:15,10:30,Eagle Island,78,80,Aethaloperca rogaa,1,Rosie,
BIOT_7097_EAGL_078_RIG4_L_2,0:00,17:43,Eagle Island,78,80,Plectropomus laevis,2,Rosie,
BIOT_7097_EAGL_078_RIG4_L_2,0:00,17:43,Eagle Island,78,80,Variola louti,1,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Melichthys niger,16,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Lutjanus bohar,3,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Carcharhinus amblyrhynchos,3,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Aethaloperca rogaa,3,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Balistoides viridescens,2,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Balistoides undulatus,1,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Cephalophis argus,2,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Variola louti,1,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Plectropomus laevis,1,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Lethrinus Nebulosis,2,Rosie,
BIOT_7097_EMGT-091_RIG2_L_2,0:00,17:43,Egmont,91,70,Caranx melampygus,1,Rosie,
BIOT_7097_EMGT-091_RIG2_L_3,0:00,12:17,Egmont,91,70,Lutjanus gibbus,120,Rosie,
BIOT_7097_NBRO_070_RIG2_L2,0:00,17:43,North Brothers,70,60,Balistoides viridescens,1,Rosie,
BIOT_7097_NBRO_070_RIG2_L2,0:00,17:43,North Brothers,70,60,Triaenodon obesus,1,Rosie,
BIOT_7097_NBRO_070_RIG2_L2,0:00,17:43,North Brothers,70,60,Variola louti,1,Rosie,
BIOT_7097_NBRO_070_RIG2_L2,0:00,17:43,North Brothers,70,60,Nebrius ferrugineus,1,Rosie,
BIOT_7097_NBRO_070_RIG2_L2,0:00,17:43,North Brothers,70,60,Carangoides orthogrammus,1,Rosie,
BIOT_7097_NBRO_070_RIG2_L3,0:00,12:17,North Brothers,70,60,Gracila albomarginata,1,Rosie,
"
BIOT_7097_SALO_048_MAP_RIG4_L_1",5:00,12:43,Ile de la Passe to Ile Mapou,48,90,Melichthys niger,5,Lauren J,
